species_richness,wavelength_nm,cv_spectrum_percent
3,2370.94,136.4992068989325
3,2375.31,138.6588897143685
3,2379.69,140.5034446567331
3,2384.06,142.1576995628969
3,2388.44,143.57971463750113
3,2392.81,144.77427853960114
3,2397.19,145.91322508416303
3,2401.56,146.95310560372806
3,2405.94,147.966943141198
3,2410.31,149.2461758194769
3,2414.6899999999996,150.8040065668433
3,2419.06,152.18022383710402
3,2423.4399999999996,152.95320107277072
3,2427.81,153.61047654109439
3,2432.19,154.44387681196866
3,2436.56,155.55173799242343
3,2440.94,156.85129012111202
3,2445.31,159.01636954862047
3,2449.69,162.1157512008137
3,2454.06,161.83084540444713
3,2458.44,160.83278001606385
3,2462.81,161.60899116364703
3,2467.19,163.6640265624055
3,2471.5600000000004,167.22560669213937
5,402.188,66.06495413767371
5,406.56199999999995,66.29623267834835
5,410.93800000000005,66.40212856069874
5,415.313,66.18160508770751
5,419.68699999999995,65.57247892734286
5,424.06300000000005,64.63472616501693
5,428.438,63.449593813946336
5,432.813,62.24769387230113
5,437.18800000000005,61.307737178884324
5,441.563,60.6654711637874
5,445.938,60.252693332030475
5,450.31300000000005,59.996858379251826
5,454.688,59.85658058962806
5,459.063,59.82515154442576
5,463.438,59.890695196398205
5,467.813,60.01408494061916
5,472.187,60.14944695553825
5,476.562,60.26601629113223
5,480.938,60.334854996254215
5,485.313,60.29887303643074
5,489.688,60.082519714905935
5,494.063,59.61162716391583
5,498.438,58.79371190463014
5,502.812,57.57069622850081
5,507.188,56.022826233090974
5,511.563,54.28878347878118
5,515.937,52.52356017086499
5,520.313,50.98003617728395
5,524.687,49.794632998022976
5,529.062,48.90982797648818
5,533.438,48.26268230629431
5,537.813,47.79670400610255
5,542.188,47.45837048491674
5,546.563,47.21505499590132
5,550.938,47.05885831497346
5,555.312,47.00596898726116
5,559.688,47.08284309547333
5,564.063,47.3079308263759
5,568.438,47.68585942441259
5,572.813,48.195474245533106
5,577.187,48.77063774312495
5,581.562,49.34315655066362
5,585.938,49.889543060234594
5,590.313,50.39784260762019
5,594.688,50.82241674835102
5,599.063,51.18677277229586
5,603.438,51.61985580295308
5,607.812,52.23721744046832
5,612.188,53.06233588958186
5,616.563,54.000873177475874
5,620.937,54.880419873053434
5,625.312,55.58949660782918
5,629.687,56.17878801910257
5,634.063,56.857035419090266
5,638.437,57.884064969453384
5,642.813,59.39554544339012
5,647.188,61.30535360563641
5,651.563,63.37563468861895
5,655.938,65.56407075076089
5,660.313,68.03659335858737
5,664.687,70.66137871180813
5,669.063,72.91627773515795
5,673.438,74.2000730183711
5,677.813,74.06634916446177
5,682.187,71.88154302246086
5,686.562,66.67737432116489
5,690.937,59.087137976497104
5,695.312,52.239848603530184
5,699.688,47.853450885960655
5,704.063,45.52374720881596
5,708.438,44.399577669135766
5,712.813,43.88683310569718
5,717.187,43.72642895490681
5,721.563,43.860960224580744
5,725.938,44.21038588235423
5,730.313,44.65808430864421
5,734.687,45.09787047429105
5,739.063,45.47564294699669
5,743.437,45.76974036419157
5,747.812,45.971879748044145
5,752.188,46.099180893055255
5,756.563,46.187160089520255
5,760.938,46.265846255115584
5,765.313,46.315695121042616
5,769.688,46.32265453119384
5,774.063,46.313612318343765
5,778.438,46.29407380139937
5,782.813,46.26440476779541
5,787.188,46.22939041882427
5,791.563,46.19034527480997
5,795.937,46.14941542198957
5,800.312,46.10991897303896
5,804.688,46.07311665121702
5,809.063,46.04347516411073
5,813.438,46.018896862352975
5,817.813,45.986011277403826
5,822.188,45.94116946318817
5,826.5630000000001,45.893252422550475
5,830.937,45.844075632167126
5,835.313,45.79275369716279
5,839.688,45.742384859314164
5,844.063,45.69538257109628
5,848.437,45.65235408339863
5,852.812,45.61155725689365
5,857.187,45.572092416630824
5,861.563,45.53513673687219
5,865.938,45.49961149590654
5,870.313,45.46550050815798
5,874.687,45.43428885783898
5,879.063,45.4056103836775
5,883.437,45.37960894221547
5,887.813,45.35948264414978
5,892.188,45.3486774374167
5,896.562,45.34239609607106
5,900.938,45.32928872780327
5,905.312,45.31051528850495
5,909.6880000000001,45.291061844145084
5,914.062,45.26538709423408
5,918.438,45.23466426130591
5,922.813,45.211006006804205
5,927.188,45.199412162078396
5,931.563,45.19152428469437
5,935.937,45.15919474189815
5,940.312,45.089820757695776
5,944.688,44.99380690928892
5,949.063,44.85574913016715
5,953.438,44.6919000183639
5,957.812,44.5376904919335
5,962.187,44.41950432880788
5,966.562,44.343605557231214
5,970.938,44.30146095335451
5,975.313,44.27939963136265
5,979.688,44.26735606253571
5,984.063,44.25818181024334
5,988.438,44.24463923997933
5,992.812,44.23214620525906
5,997.188,44.23725842448487
5,1001.5600000000001,44.26279319690755
5,1005.94,44.298797345702354
5,1010.3100000000001,44.33737351869762
5,1014.69,44.3749844213758
5,1019.0600000000001,44.4109620513188
5,1023.4399999999999,44.44472273527723
5,1027.81,44.47405734703698
5,1032.19,44.49765043782918
5,1036.56,44.51642835310691
5,1040.94,44.531071941872305
5,1045.31,44.54100841327029
5,1049.69,44.546318112650304
5,1054.06,44.54757513358658
5,1058.44,44.54556274274184
5,1062.81,44.541259561899906
5,1067.19,44.53499988457269
5,1071.5600000000002,44.526561682193375
5,1075.9399999999998,44.51676429566562
5,1080.3100000000002,44.507700215700716
5,1084.6899999999998,44.500055990861945
5,1089.06,44.492791792685104
5,1093.44,44.48629776829638
5,1097.81,44.48082391253655
5,1102.19,44.47415711028493
5,1106.56,44.46516539201079
5,1110.94,44.45693652134574
5,1115.31,44.4515910943732
5,1119.69,44.440743679466074
5,1124.06,44.38804631618004
5,1128.44,44.25536892596193
5,1132.8100000000002,44.06705881471239
5,1137.1899999999998,43.872949781934544
5,1141.56,43.68031998024273
5,1145.94,43.43714467704067
5,1150.31,43.21972396732843
5,1154.69,43.11571631386402
5,1159.06,43.07618752726499
5,1163.44,43.06193170346375
5,1167.81,43.056388485601296
5,1172.19,43.05409330041666
5,1176.56,43.056870386748095
5,1180.94,43.064843261634635
5,1185.3100000000002,43.073511538256646
5,1189.6899999999998,43.07972885987355
5,1194.06,43.0858698895471
5,1198.44,43.09549503797741
5,1202.81,43.106306214738396
5,1207.19,43.11498220628221
5,1211.56,43.1214941030416
5,1215.94,43.12568501540823
5,1220.31,43.12920537144743
5,1224.69,43.13347141053724
5,1229.06,43.13864910867512
5,1233.44,43.1455850927877
5,1237.8100000000002,43.15454574179702
5,1242.1899999999998,43.16643207245103
5,1246.56,43.18224235812794
5,1250.94,43.200643402181456
5,1255.31,43.220246018690915
5,1259.69,43.24243331130629
5,1264.06,43.265661286732445
5,1268.44,43.280069806802
5,1272.81,43.27967315109719
5,1277.19,43.271589531428624
5,1281.56,43.26344719307879
5,1285.94,43.25874278213922
5,1290.3100000000002,43.257973366936966
5,1294.6899999999998,43.25899890279016
5,1299.0600000000002,43.26168679165889
5,1303.4399999999998,43.26911262380376
