species_richness,pixel_index,CHA_local,CHA_global,SAM_local_rad,SAM_global_rad,SAM_local_deg,SAM_global_deg,SID_local,SID_global
3,45,0.6394456740979648,0.539034823705716,0.13108510452706487,0.04805026247870164,7.510623246432059,2.7530772445254215,0.047072388298708426,0.006660570781218605
3,46,1.3715028226571704,1.3369093483534544,0.0792660968050668,0.16742893516368396,4.541612805405746,9.592971353248592,0.025590186354186764,0.09038976370737832
3,47,0.727523321536617,0.6512940075987639,0.07325762046375357,0.160657702221521,4.197352469744292,9.205008283562703,0.024083066606137203,0.0853906336711092
3,48,0.7538188302502993,0.6784509438412655,0.03730842767112324,0.12322031293790701,2.1376154458244563,7.0600038816233255,0.006316103477254961,0.04731468121766652
3,49,0.9796030124730927,0.9286004349829907,0.08905031079694656,0.1763033650208633,5.102206972993304,10.101438729649853,0.03808863838667898,0.11100307939522736
3,50,0.8435245728963917,0.7764241089222691,0.031889718624835355,0.07175858153485096,1.8271462870628012,4.111463865792361,0.004925320703826551,0.008172721730666532
3,51,0.7727652285487129,0.6972067777840373,0.03212798739004011,0.06786333344335024,1.8407980816988272,3.8882825899929814,0.0028341102826819706,0.010212477291820538
3,52,0.7220733127235819,0.641717953936714,0.025160443972009335,0.09460865968979823,1.4415872502715081,5.420676905614918,0.003371719872863837,0.028862984581008652
3,53,0.9684212096884787,0.9126502000222343,0.025300851097188104,0.09649892999832602,1.4496319859578166,5.528981416432453,0.0031983375146467184,0.02808226678288988
3,54,0.8767969167810611,0.8129163501418215,0.022479826824274136,0.0900111512841438,1.2879992012158845,5.1572590776950005,0.0024693079821160686,0.015229406433534327
3,55,1.3283198925008075,1.2937058434195874,0.12724960634153956,0.21458982723744457,7.2908653880713725,12.295091427147051,0.07090996297753961,0.16559239127762893
3,56,0.6888249167257792,0.6038845303448716,0.021296796297959303,0.09524745660758514,1.220216545022904,5.4572772729700745,0.0016332503518950237,0.02548870916272239
3,57,0.768818440482198,0.6940402352743967,0.03292497385127503,0.06532342791516256,1.8864620422566551,3.742756722865881,0.0042934445877666275,0.008812366201353339
3,58,0.8349381505316671,0.7708422545420404,0.02849120058107984,0.1131280730889344,1.6324255465565534,6.481761132443447,0.005240320297713687,0.041896356412769745
3,59,0.9237873390794948,0.8594061626079207,0.07418369399874328,0.022315946623788403,4.250412574817963,1.2786095573822942,0.013427252793507961,0.0020121249541222436
3,60,0.7925491250604951,0.7244838513172177,0.08649830978579301,0.17439657580296944,4.955988085741088,9.992187755043485,0.034925826144210706,0.10676960986930817
3,61,0.7476260931242448,0.6714335009657199,0.06423808162221084,0.15108735428123046,3.680570960969578,8.656667738112334,0.024263218326131885,0.08597695088110821
3,62,1.093916104151405,1.045553612977453,0.019069660726477568,0.09296533945289352,1.092611076373544,5.326521591651841,0.0018774476622915965,0.026297002566175072
3,63,0.7071601215977095,0.6240024078012087,0.0334193359411875,0.07478917925983296,1.9147869035599063,4.285104324835778,0.003543428919273009,0.011804006227690685
3,64,0.6603849600676763,0.5695703278769656,0.06345284173596125,0.04951581011550836,3.6355800295821434,2.8370469387898183,0.01662590160605475,0.005005523516036652
3,65,0.9067315355735065,0.8465642803805472,0.01619638785010129,0.08516873731547486,0.927984667167769,4.879809194635075,0.0011704049380477962,0.022924337277367174
3,66,0.9044002575043989,0.8471345968274178,0.04606343943359073,0.1336388552339395,2.6392406694012363,7.656942383864526,0.008467581967783147,0.05303709292180281
3,67,0.6383760344996847,0.5432706191135087,0.06561547031853543,0.05326386463649429,3.7594895200180036,3.0517946442272397,0.01301029201874208,0.011058919957565673
3,68,0.8464198252135906,0.7815365903768599,0.016626284611876336,0.10288563936347275,0.9526159372438201,5.894912908032039,0.0014188410413187545,0.030206928775034718
3,69,0.6171537059389323,0.5127243552367324,0.11045041808944112,0.02955378896864024,6.328342801980377,1.6933073765233757,0.034642118721897215,0.0031221751151893472
3,70,0.7493440404273181,0.6715012289547313,0.03086715503790376,0.08782438130743127,1.7685577092478622,5.03196638726345,0.0033268460003885976,0.025154413324051356
3,71,0.856393405948181,0.7940645885813612,0.06768405773080893,0.15540749575063595,3.8780108482951636,8.904193611208715,0.02318932955608534,0.08509304837749682
3,72,0.9156280937591671,0.8578124134217656,0.03211338506320164,0.11889313493483422,1.8399614299999123,6.812074844845407,0.004684343591624444,0.042180362062356244
3,73,0.7792101346226875,0.7069333008471846,0.015897502391988002,0.08462147893551608,0.9108597918600434,4.84845359916027,0.0009793820215506562,0.0206114194530257
3,74,0.8323102892087205,0.7635862999714247,0.042957073276033785,0.06778446177626381,2.4612589989509526,3.8837635763457676,0.004409844359647993,0.015528877964005365
